name,postal_code,phone,hours,link,products,products_grown,products_pick,formatted_address,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,lat,lng
William's Orchard,L9T 2X9,905-876-4220,,http://www.ruralroutes.com/williamsorchard,,,,"10101 Hume Ct, Milton, ON L9T 2X9, Canada",10101,Hume Court,Milton,Halton Regional Municipality,Ontario,Canada,43.5723066,-79.9409287
Vail's Orchards,N4L 1W5,519-538-4474,"Sunday to Saturday, 8am to 6pm",,"apples, pears, pumpkins, squash",apples,,"205790 ON-26, Meaford, ON N4L 1C5, Canada",205790,Ontario 26,Meaford,Grey County,Ontario,Canada,44.6116514,-80.6395281
Trembling Aspens Herb Farm,L0R 1E0,905-957-3812,10am to 4pm alternate days from week to week.,,"beans, cabbage, cucumbers, honey, peppers, pumpkins, squash, tomatoes","beans, cabbage, cucumbers, gooseberries, peppers, pumpkins, squash, tomatoes",,"9689 Concession Rd 3, Caistor Centre, ON L0R 1E0, Canada",9689,Concession Road 3,Caistor Centre,,Ontario,Canada,43.0837474,-79.7242973
Creasy's Apple Dabble Farm,K0K 2T0,613-476-5142,"Sept. 1 to mid-November, 9:00am to 5:00pm, 7 days a week.",,"apples, blueberries, cabbage, cucumbers, onions, pears, peppers, plums, pumpkins, squash, tomatoes","apples, blueberries, cabbage, cucumbers, onions, pears, peppers, plums, pumpkins, squash, tomatoes","apples, blueberries","8 County Rd 4, Prince Edward, ON K0K, Canada",8,County Road 4,Prince Edward,Prince Edward County,Ontario,Canada,44.0046792,-77.1523755
White Feather Country Store,L1H 7K4,905-655-4752,"Open Year Round, Monday to Wednesday 8:30 to 6:00, Thursday and Friday 8:30 to 8:00, Saturday 8:30 to 6:00, Sunday 10:00 to 5:00",http://www.whitefeatherfarms.com,"apples, corn, eggs, onions, pumpkins, raspberries, squash, strawberries, tomatoes","corn, eggs",,"15 Raglan Rd E, Oshawa, ON L1H 7K4, Canada",15,Raglan Road East,Oshawa,Durham Regional Municipality,Ontario,Canada,44.017911,-78.9250689
Floralane Produce,N3B 2Z1,519-669-3154,"Open from March to December - Monday to Friday 8:30 to 7:00, Saturday 8:30 to 5:30.",,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, flowers, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, cabbage, corn, flowers, onions, peas, peppers, pumpkins, squash, strawberries, tomatoes",,"2191 Arthur St N, Elmira, ON N3B 2Z1, Canada",2191,Arthur Street North,Elmira,Waterloo Regional Municipality,Ontario,Canada,43.6324341,-80.5500486
Franklin Farm Herbals and Market,L0A 1A0,705-277-9800,Open from May to October Thursday to Sunday 10:00 am to 6:00 pm or by chance.,http://www.kawarthaherbs.blogspot.com,"beets, blueberries, carrots, cucumbers, flowers, honey, peaches, pears, peppers, raspberries, strawberries, tomatoes","herbs, honey, peppers, tomatoes",,"1453 Fleetwood Rd, Bethany, ON L0A 1A0, Canada",1453,Fleetwood Road,Kawartha Lakes,Kawartha Lakes Division,Ontario,Canada,44.2329918,-78.5826815
Dixie Orchards,L7C 2M8,905-838-5888,"Open from Sept 1 to November 1, 7 days a week from 10 am to 6 pm",http://www.dixieorchards.com,"apples, beets, carrots, corn, currants, pears, pumpkins, raspberries, squash","apples, currants, pears, pumpkins, raspberries, squash","apples, raspberries","14309 Dixie Rd, Kleinburg, ON L7C 2M5, Canada",14309,Dixie Road,Caledon,Peel Regional Municipality,Ontario,Canada,43.8080714,-79.8541295
Brambleberry Farm,,613-398-8350,June to September,http://brambleberryfarm.ca,"blueberries, currants, gooseberries, raspberries, strawberries","blueberries, currants, gooseberries, raspberries, strawberries","blueberries, currants, gooseberries, raspberries, strawberries","9 Mitchell Rd, Wooler, ON K0K 3M0, Canada",9,Mitchell Road,Quinte West,Hastings County,Ontario,Canada,44.1852431,-77.6692119
Round the Bend Farm,L7B0,905-727-0023,"Open from May to December- Monday to Friday: 9-6pm, Saturday 9-5pm, closed on Sunday",http://www.roundthebendfarm.com,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, flowers, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, beets, broccoli, cabbage, carrots, cauliflower, corn, flowers, onions, pumpkins, squash, tomatoes",Maze,"16225 Jane St, King City, ON L7B 1A3, Canada",16225,Jane Street,King City,York Regional Municipality,Ontario,Canada,44.0018171,-79.5726116
Bonnieheath Estate Lavender & Winery,N0E 1Y0,519-443-7125,"March to December with extended summer hours, visit our website for seasonal hours",http://www.bonnieheathestate.com,"apples, lavender",,,"Waterford, ON N0E, Canada",,,Waterford,Norfolk County,Ontario,Canada,42.9316056,-80.2895832
Debackere Farms Inc.,N0L 2L0,519-476-4623,"7am to 6pm, 7 days a week",http://www.debackerefarms.ca,"apples, beans, corn, cucumbers, eggplant, onions, peaches, pears, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, corn, cucumbers, eggplant, peppers, pumpkins, raspberries, squash, strawberries, tomatoes",,"5013 Yarmouth Centre Rd, Union, ON N0L 2L0, Canada",5013,Yarmouth Centre Road,Union,Elgin County,Ontario,Canada,42.677836,-81.1286508
The Poultry Place,N0B 2N0,519-664-3090,"Tuesday to Friday 8-5, Saturday 8 to 4, year round.",http://www.thepoultryplace.com,,,,"1010 Three Bridges Rd, St. Jacobs, ON N0B 2N0, Canada",1010,Three Bridges Road,Saint Jacobs,Waterloo Regional Municipality,Ontario,Canada,43.5178718,-80.5700017
19th Ave. Farmers Market,L6C 1L7,905-887-8954,"Open from June to November, 8am to 6pm",http://www.toptomatofoods.ca,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, flowers, grapes, onions, peaches, pears, peas, peppers, plums, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes, zucchini","beans, broccoli, cabbage, cauliflower, corn, cucumbers, eggplant, onions, peas, peppers, potatoes, pumpkins, squash, strawberries, tomatoes, zucchini",strawberries,"2931 19th Ave, Markham, ON L6C 1L7, Canada",2931,19th Avenue,Markham,York Regional Municipality,Ontario,Canada,43.9215283,-79.3788719
f.N. Happy Farm,L9P 1R1,905-862-0591,Victoria Day Weekend to Thanksgiving Weekend,http://www.fnhappyfarm.ca,,,,"439 Feasby Rd, Uxbridge, ON L9P 1R1, Canada",439,Feasby Road,Uxbridge,Durham Regional Municipality,Ontario,Canada,44.1108024,-79.1907667
Theadora's Orchard,L0R 1B3,289-566-9664,,,,,,"5210 King St, Beamsville, ON L0R 1B3, Canada",5210,King Street,Lincoln,Niagara Regional Municipality,Ontario,Canada,43.1693071,-79.4874356
Kent Kreek Berries,N3Y 4J9,519-426-0924,"Open 9am to 6pm, from mid-June to end of September, weekend in Sept. & October",http://www.kentkreekberries.com,"blueberries, pumpkins, raspberries, squash, strawberries, zucchini","blueberries, strawberries",,"3173 ON-3, Simcoe, ON N3Y 4J9, Canada",3173,Highway 3,Simcoe,Norfolk County,Ontario,Canada,42.8356146,-80.3645602
Berryview Farm,L7C 2K7,905-838-4777,"Sept 1 to Oct. 31, 10:00 - 5:30 daily except for Tuesdays",http://www.berryviewfarm.com,"apples, cider, pumpkins, squash","apples, pumpkins, squash","apples, pumpkins, squash","13707 Heart Lake Rd, Inglewood, ON L7C 2K6, Canada",13707,Heart Lake Road,Caledon,Peel Regional Municipality,Ontario,Canada,43.7852792,-79.8471682
Harris Flower Farm,N5P 3T1,519-668-9537,Call ahead to talk about flowers for weddings and special events,http://www.harrisflowerfarmpasturedpork.weebly.com,"flowers, pork","flowers, pork",Weddings,"42488 Ron McNeil Line, St. Thomas, ON N5P 3T1, Canada",42488,Ron McNeil Line,Saint Thomas,Elgin County,Ontario,Canada,42.8152607,-81.1904284
Speers Farms Amaranth,L9W 2Z3,519-941-2708,,,beef,beef,,"Orangeville, ON, Canada",,,Orangeville,Dufferin County,Ontario,Canada,43.9199788,-80.0943113
Orchard Home Farm,N0E 1N0,519-448-1111,"Open from mid August to mid November, 9:00 am to 7:00 pm daily including weekends and holidays",http://www.orchardhomefarm.com,"apples, pears, pumpkins, squash","apples, pears, pumpkins, squash","apples, pears","235 Howell Rd, Saint George, ON N0E 1N0, Canada",235,Howell Road,Saint George,Brant County,Ontario,Canada,43.2561499,-80.2761952
Johnston's Farm Market,K0L 1B0,705-939-1737,"Market open from mid-June to November, 10am to 6pm, 7 days a week<br /> PYO berries in June<br /> Maple syrup is available all year round",http://www.johnstonsfarmmarket.ca,"beans, beets, broccoli, cabbage, carrots, cauliflower, corn, cucumbers, herbs, onions, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, broccoli, cabbage, carrots, cauliflower, corn, cucumbers, herbs, onions, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","raspberries, strawberries","10704 Northumberland County Rd 28, Bailieboro, ON K0L 1B0, Canada",10704,Northumberland County Road 28,Bailieboro,Northumberland County,Ontario,Canada,44.1149603,-78.3447832
Busy Liz's Farm Shop,L0P 1B0,905-854-9957,The market is open from June to October and then again in December.,http://www.busyliz's.com,"beans, beets, carrots, corn, garlic, onions, peaches, pears, peas, preserves, pumpkins, squash, strawberries, tomatoes","beets, carrots, corn, garlic, onions, peas, pumpkins, squash, tomatoes",,"8405 Guelph Line, Milton, ON L0P, Canada",8405,Guelph Line,Milton,Halton Regional Municipality,Ontario,Canada,43.4773339,-79.9681575
Oaklane Orchard,N0H 1J0,519-599-5841,Open Aug. 15 to Nov.30 - weather permitting. Daily from 9am to 6pm,,"apples, pears, plums","apples, plums","apples, plums","496445 Grey County Rd 2, Clarksburg, ON N0H 1J0, Canada",496445,Grey County Road 2,The Blue Mountains,Grey County,Ontario,Canada,44.5059296,-80.4256773
Cheer Farms,K0K 1H0,613-475-1174,"Open from June to December, daily 8am to 6pm",,"apples, beans, potatoes, pumpkins, squash, strawberries, tomatoes",,,"Brighton, ON, Canada",,,Brighton,Northumberland County,Ontario,Canada,44.0422599,-77.7368828
Delhaven Orchards Ltd.,N0P 1A0,519-676-4475,"November 1 to June 3: Open 6 days a week from 8am to 5pm, July 1 to October 31: Open 7 days a week from 8am to 6pm",http://www.delhaven.com,"apples, blueberries, cherries, corn, honey, onions, peaches, pears, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, cherries, peaches, pears, plums, strawberries",,"8182 Talbot Trail, Blenheim, ON N0P 1A0, Canada",8182,Talbot Trail,Chatham-Kent,Chatham-Kent Division,Ontario,Canada,42.2597739,-82.0599545
Farmtown Canada,N5H 2R6,519-773-2292,"Open Tuesday to Saturday, 10-6",http://www.farmtowncanada.ca,"cider, cucumbers, eggs, flowers, herbs, honey, peppers, pumpkins, squash, tomatoes","cucumbers, flowers, herbs, peppers, pumpkins, squash, tomatoes",,"46703 Mapleton Line, Aylmer, ON N5H 2R6, Canada",46703,Mapleton Line,Aylmer,Elgin County,Ontario,Canada,42.8226023,-81.0670547
Breedon's Maple Syrup,L9R 1V1,705-435-5269,In season-open 7 days a week from 10 to 5pm. Off season-please call ahead.,http://www.breedonsmaplesyrup.com,,,,"Alliston, New Tecumseth, ON, Canada",,,New Tecumseth,Simcoe County,Ontario,Canada,44.1539514,-79.8691544
Frank E.'s,N0E 1V0,519-446-1191,seasonal,http://www.frankesvanessa.com,"apples, ginseng, honey","apples, ginseng",,"1936 Regional Rd 4, Vanessa, ON N0E 1V0, Canada",1936,Regional Road 4,Vanessa,Norfolk County,Ontario,Canada,42.9663006,-80.3966041
Thiessen Orchards Ltd.,N8H 3V6,519-326-5282,"Open the weekend after Labour Day, 7 days a week from 10 am to 5pm",http://www.thiessenorchards.com,"apples, pumpkins",Maze,,"400 Talbot Rd E, Leamington, ON N8H 3V6, Canada",400,Talbot Road East,Leamington,Essex County,Ontario,Canada,42.0633688,-82.5579639
Rose Family Farm,L0G 1M0,905-473-3574,"9am to 5pm, 7 days a week from May to October, Closed on Sundays and from November 1 to Victoria Day weekend.",,"beets, honey, onions, pies, potatoes, pumpkins, raspberries, strawberries","beets, potatoes, pumpkins, raspberries, strawberries","raspberries, strawberries","17569 Centre St, Mount Albert, ON L0G 1M0, Canada",17569,Centre Street,Mount Albert,York Regional Municipality,Ontario,Canada,44.0986575,-79.2964412
Sheldon Creek Dairy,L0G 1L0,705-434-0404,"Monday to Saturday, 10am to 6pm, Sunday 11am to 4pm",http://www.sheldoncreekdairy.ca,milk,milk,,"4316 Concession 5, Loretto, ON L0G 1L0, Canada",4316,Concession 5,Loretto,Simcoe County,Ontario,Canada,44.0997151,-79.9203997
Abbey Gardens Community Trust,K0M 1S0,705-854-0356,"Open form May 1 to November 1, 9:00am to 3:00pm",http://www.abbeygardens.ca,,,,"Garden Gate Dr, Algonquin Highlands, ON K0M 1J1, Canada",,Garden Gate Drive,,Haliburton County,Ontario,Canada,45.1052755,-78.6168229
Fisherville Greenhouses,N0A 1G0,905-779-0710,"Open from May to November, dawn to dusk at the road side stand, greenhouse hours are 8am to 3pm",http://www.fishervillegreenhouses.com,"pumpkins, tomatoes",,,"Concession 5 Rd, Fisherville, ON N0A 1G0, Canada",,Concession 5 Road,Fisherville,Haldimand County,Ontario,Canada,42.8822367,-79.89918
Foster Family Farm,K0A 2T0,613-489-1893,"Farm - 2132 Lockhead Rd., North Gower - open mid June to early July for PYO strawberries - Monday to Friday 7:00am to 7:00pm -Saturday 7:00am - 6:00pm -Sunday CLOSED Market- 333 Cedarview Rd., Nepean - open mid June to October 31st (Closed from after Labour Day to first of October) - Monday to Friday 10:00am - 6:00pm - Saturday 9:00am - 5:00pm -Sunday CLOSED Market - Canadian Tire Store parking lot, 2501 Greenbank Rd., Nepean -open mid June to Labour Day Saturday - Monday to Friday 10:00am - 6:00pm -Saturday 9:00am - 5:00pm -Sunday CLOSED",http://www.fosterfamilyfarm.ca,"beans, beets, broccoli, cabbage, carrots, cauliflower, cucumbers, onions, peas, peppers, pumpkins, squash, strawberries, tomatoes","beans, beets, broccoli, cabbage, carrots, cauliflower, cucumbers, onions, peas, peppers, pumpkins, squash, strawberries, tomatoes",strawberries,"2132 Lockhead Rd W, North Gower, ON K0G 1J0, Canada",2132,Lockhead Road West,Ottawa,Ottawa Division,Ontario,Canada,45.1219938,-75.6825094
Trillium Ridge Sugarworks,K0K 3A0,613-396-5141,"Open from February 14th to April 14th, seven days a week, 9am to 6pm or call fro an appointment",http://www.sugarworks.ca,,,,"254 Maple Sugar Rd, Shannonville, ON K0K 3A0, Canada",254,Maple Sugar Road,Shannonville,Hastings County,Ontario,Canada,44.3420044,-77.1725898
Steward's Blueberries,N0E 1A0,519-458-4176,"Mid July to the end of August, Monday to Saturday 8:00am to 9:00pm, Sundays 8:00am to 4:00pm",,blueberries,blueberries,blueberries,"238 Brant County Hwy 53, Brant, ON N0E, Canada",238,Brant County Highway 53,Brant,Brant County,Ontario,Canada,43.100773,-80.445405
Marci Lipman Country,L0N 1S8,416-346-5511,,http://marcilipman.ca,honey,,,"487280 30 Side Rd, Shelburne, ON L0N 1S8, Canada",487280,30 Side Road,Shelburne,Dufferin County,Ontario,Canada,44.0894292,-80.0958193
Wilson's Fresh Blueberries,K9V 4R5,705-799-0315,"In season, Saturdays from 9 am to 4 pm",http://www.wilsonsfreshblueberries.ca,blueberries,blueberries,blueberries,"61 Settlement Rd, Lindsay, ON K9V 4R5, Canada",61,Settlement Road,Lindsay,Kawartha Lakes Division,Ontario,Canada,44.4209411,-78.5227925
Talbotville Berry Farm,N5P 3T2,519-633-1488,,http://www.talbotvilleberryfarm.com,"beans, broccoli, cabbage, cauliflower, corn, cucumbers, gourds, melons, peas, pumpkins, raspberries, squash, strawberries, tomatoes","beans, broccoli, cabbage, cauliflower, corn, cucumbers, gourds, melons, peas, pumpkins, raspberries, squash, strawberries, tomatoes","pumpkins, raspberries, strawberries","11054 Sunset Dr, St. Thomas, ON N5P 3T2, Canada",11054,Sunset Drive,Saint Thomas,Elgin County,Ontario,Canada,42.811261,-81.2565218
Goldsmith's Orchard Market,N0H 2P0,519-599-3246,"Open from May 1st to November 29th, 7 days a week, from 9am to 6pm.",http://www.goldsmithsmarket.com,"apples, asparagus, beans, beef, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, cider, corn, eggs, flowers, herbs, honey, lettuce, melons, peaches, peas, peppers, pork, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes","apples, beans, cabbage, cider, corn, flowers, herbs, melons, peas, potatoes, pumpkins, raspberries, squash, tomatoes",,"207600 ON-26, Thornbury, ON N0H 2P0, Canada",207600,Ontario 26,The Blue Mountains,Grey County,Ontario,Canada,44.571278,-80.4765855
Serenity Lavender,,519-980-4504,"Open Victoria day to Labour Day Weekend, Thursday to Sunday 10am - 5pm",http://www.serenitylavender.com,lavender,,,"Southwestern Ontario Heritage Village, Essex, ON N0R, Canada",,,Essex,Essex County,Ontario,Canada,42.031929,-82.915123
Munro Honey & Meadery,N0N 1A0,519-847-5333,Open Year Round: Jan.-Mar. Monday-Friday 9am-5pm Apr.-Dec. Monday -Saturday 9am-5pm Closed all Statutory Holidays,http://www.munrohoney.com,"giftware, honey",honey,,"3115 River St, Alvinston, ON N0N 1A0, Canada",3115,River Street,Alvinston,Lambton County,Ontario,Canada,42.812798,-81.858671
Fresh and Tasty Mushrooms,L0N 1S5,519-925-3215,,,,,,"475226 Dufferin County Road 11, Shelburne, ON L0N 1S0, Canada",475226,Dufferin County Road 11,Shelburne,Dufferin County,Ontario,Canada,44.0327909,-80.1925995
South Pond Farms,L0A 1K0,705-772-0609,dawn to dusk,http://www.southpondfarms.ca,"herbs, preserves, vegetables","herbs, vegetables","herbs, vegetables","1020 Gray Rd, Pontypool, ON L0A 1K0, Canada",1020,Gray Road,Kawartha Lakes,Kawartha Lakes Division,Ontario,Canada,44.1586143,-78.6076872
Arrowwood Farm,N0L 1T0,519-289-0389,"mid July to end of August, Monday to Saturday, 8am to 4pm",http://www.arrowwoodfarmontario.com,blueberries,blueberries,blueberries,"6460 Riverside Dr, Melbourne, ON N0L 1T0, Canada",6460,Riverside Drive,Melbourne,Middlesex County,Ontario,Canada,42.7777124,-81.5113929
Barrett's Christmas Tree Farm,K9A 4J7,905-342-2622,Every day 9am to 5pm during the Christmas season,http://www.barrettstreefarm.ca,,,,"3141 Williamson Rd, Cobourg, ON K9A 4J7, Canada",3141,Williamson Road,Cobourg,Northumberland County,Ontario,Canada,44.0167736,-78.2311661
Masse Fruit and Vegetable Farm,N0M 2T0,519-236-7907,"Open from mid-July to Nov 1., 10am to 6pm",,"apples, beans, corn, peaches, pumpkins, squash, strawberries, tomatoes",,,"35291 Zurich Hensall Rd, Zurich, ON N0M 2T0, Canada",35291,Zurich Hensall Road,Zurich,Huron County,Ontario,Canada,43.4128004,-81.700041
Berrylicious Fruit Farm,N0J 1C0,"519-424-3147, cell 519-76","Fall, Winter, Spring: by appointment only SUMMER: July to September: 8 am. to 6 p.m. Closed Sunday unless otherwise arranged.",http://www.berryliciousfruit.ca,"gourds, pumpkins","blueberries, pumpkins",,"425533 Substation Rd, Burgessville, ON N0J 1C0, Canada",425533,Substation Road,Burgessville,Oxford County,Ontario,Canada,43.0576757,-80.6444847
Windwood Farms,L0R 1B1,905-401-0515,"Open from August 25 to November 3, 2012<br /> Weekends only - Saturday & Sunday 10am - 4:30pm",http://www.windwoodfarms.ca,"apples, gourds, pears, pies, plums, pumpkins, squash","apples, pears, pumpkins, squash",,"4198 King St, Beamsville, ON L0R 1B1, Canada",4198,King Street,Lincoln,Niagara Regional Municipality,Ontario,Canada,43.1587803,-79.4341434
Olkaga Country Market,N4N 3B8,519-369-6729,"Open May to August, 7 days a week, 9am to 6pm Monday to Saturday, 12 noon to 4pm on Sunday.",http://www.olkagacountrymarket.ca,"beans, beets, blueberries, broccoli, carrots, cauliflower, corn, honey, onions, peaches, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","asparagus, strawberries",strawberries,"402346 Grey County Rd 4, Hanover, ON N4N 3B8, Canada",402346,Grey County Road 4,Hanover,Grey County,Ontario,Canada,44.1726857,-80.8975365
Thompson's Orchard,N0P 1A0,519-676-8464,"During season, open Monday to Saturday, 9 to 5",,"apples, peaches, pears, plums, pumpkins, squash","apples, peaches, pears, plums, pumpkins, squash",,"19863 Charing Cross Rd, Blenheim, ON N0P 1A0, Canada",19863,Charing Cross Road,Chatham-Kent,Chatham-Kent Division,Ontario,Canada,42.2946186,-82.0490062
Lake Land Meats & Farm Market,L2R 6P7,905-688-4570,"noon to 5 pm, June to October - daily, November to May - Tuesday to Saturday",http://www.lakelandmeats.com,,,,"1226 St Paul St W, St. Catharines, ON L2R 6P7, Canada",1226,Saint Paul Street West,Saint Catharines,Niagara Regional Municipality,Ontario,Canada,43.141214,-79.27962
Blueberry Knoll Berry Farm,N0A 1K0,905-774-7732,"In Season...Monday to Thursday 8am to 8pm, Friday and Saturday 8am to 6pm",http://www.blueberryknoll.com,"blueberries, corn, raspberries, strawberries","blueberries, corn, raspberries, strawberries","blueberries, raspberries, strawberries","1090 Hutchinson Rd, Lowbanks, ON N0A 1K0, Canada",1090,Hutchinson Road,Lowbanks,Haldimand County,Ontario,Canada,42.9218462,-79.5109609
Landman Gardens & Bakery,L0N 1G0,519-928-3275,Fridays 10 am - 4 pm Saturdays 10 am - 4 pm,http://www.landmangardens.ca,"apples, beans, beets, carrots, cucumbers, onions, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes",,,"322345 Concession Rd 5, Grand Valley, ON L0N 1G0, Canada",322345,Concession Road 5,Grand Valley,Dufferin County,Ontario,Canada,43.9263107,-80.3088958
Oak Knoll Farms,N0B 1Z0,519-855-4682,open year round by appointment,http://oakknollfarms.ca,"lamb, preserves",lamb,,"5754 3 Line, Hillsburgh, ON N0B 1Z0, Canada",5754,3 Line,Erin,Wellington County,Ontario,Canada,43.7233198,-80.1494265
Pine Hill Orchards,K0A 1E0,613-791-9979,seasonally 7 days a week from September to October,,"apples, grapes, honey, plums, raspberries","apples, grapes, honey, plums, raspberries","apples, grapes, plums, raspberries","1818 Saint FÌ©lix Road, Bourget, ON K0A 1E0, Canada",1818,Saint FÌ©lix Road,Clarence-Rockland,Prescott and Russell United Counties,Ontario,Canada,45.418582,-75.1776121
Greenshire Eco Farms Inc.,K9V 4R5,705-879-4207,,http://www.greenshireecofarms.com,"asparagus, beans, beets, carrots, corn, cucumbers, eggplant, garlic, onions, peas, peppers, squash, tomatoes",,,"1563 Pigeon Lake Rd, Lindsay, ON K9V 4R5, Canada",1563,Pigeon Lake Road,Lindsay,Kawartha Lakes Division,Ontario,Canada,44.3999048,-78.5334194
Mitchdale Farms,N4X 1C5,519-349-2271,"9am to 7pm from July to mid-August- 7 days a week, by appointment or chance year round",,raspberries,,,"96 Ontario St S, St. Marys, ON N4X, Canada",96,Ontario Street South,Saint Marys,Perth County,Ontario,Canada,43.2563242,-81.1476968
Sweet Ridge Farms,M1X 1P2,416-992-9561,In seaon: Monday to Saturday,,,,,"8327 Steeles Ave E, Markham, ON L6B 1A8, Canada",8327,Steeles Avenue East,Markham,,Ontario,Canada,43.8537822,-79.1775117
Vandermeer Nursery Ltd.,L1Z 1X3,905-427-2525,check website www.vandermeernursery.com for details Open 7 days a week,http://www.vandermeernursery.com,perennials,perennials,,"588 Lake Ridge Rd S, Ajax, ON L1Z 1X3, Canada",588,Lake Ridge Road South,Ajax,Durham Regional Municipality,Ontario,Canada,43.8529457,-78.9795733
Crunican Orchards,N0M 1P0,519-666-0286,,,"apples, cider, pears",,,"23840 Richmond St, London, ON N5X 4B2, Canada",23840,Richmond Street,London,Middlesex County,Ontario,Canada,43.1509918,-81.3402287
Pardo's Berie Farm,N0P 1A0,519-676-2008,"Open from June to September, Monday to Thursdya from 8:00am to 8:00pm, Friday to Sunday from 8:00am to 6:00pm",http://www.pardosberriefarm.com,"beans, blackberries, corn, honey, peaches, peppers, raspberries, strawberries","beans, blackberries, peaches, peas, peppers, raspberries, strawberries","beans, peaches, peas, raspberries, strawberries","7951 Talbot Trail, Blenheim, ON N0P 1A0, Canada",7951,Talbot Trail,Chatham-Kent,Chatham-Kent Division,Ontario,Canada,42.2597996,-82.0599688
Top Market Rabbitry,N0B 1B0,519-716-9464,"Open year round - Monday to Friday 11:00am to 6:00pm, Saturday 10:00am to 4:00pm, Sunday 10:00am to 12:00pm",http://www.topmarketrabbitry.ca,,,,"5887 Splint Rd, Ariss, ON N0B 1B0, Canada",5887,Splint Road,Ariss,,Ontario,Canada,43.579432,-80.4040739
Stonefield Garden Centre & Market Ltd.,N0M 1G0,519-482-3020,"April 20, 2012 to October 31, 2012 from 8am to 6pm",http://stonefieldgardencentre.ca,"beans, corn, cucumbers, flowers, onions, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","beans, pumpkins, raspberries, rhubarb, strawberries, tomatoes",,"77688 Orchard Line, Bayfield, ON N0M 1G0, Canada",77688,Orchard Line,,Huron County,Ontario,Canada,43.599638,-81.681395
Meadow Lynn Farms,N3Y 4K2,519-426-4461,"8am to 8pm, 7 days a week in season",,strawberries,strawberries,strawberries,"144 Decou Rd, Simcoe, ON N3Y 4K2, Canada",144,Decou Road,Simcoe,Norfolk County,Ontario,Canada,42.8235323,-80.2876565
Voisin's Maple Products Ltd.,N0G 1W0,519-392-8126,Monday to Thursday 8am-4:30pm,http://www.vmaple.com,,,,"10 Concession Rd 12, Mildmay, ON N0G 2J0, Canada",10,Concession Road 12,Mildmay,Bruce County,Ontario,Canada,44.0670086,-81.2167251
Apple Hill Lavender,N0E 2A0,519-426-1841,"Open May to December 31, Wednesday to Sunday from 10am to 5pm",http://www.applehilllavender.com,"apples, lavender","apples, lavender",,"1795 Windham Road 11, Windham Centre, ON N0E 2A0, Canada",1795,Windham Road 11,Windham Centre,Norfolk County,Ontario,Canada,42.8919075,-80.3279739
Carron Farms Ltd.,L3Z 2A6,905-775-2432,Open Year Round,http://www.carronfarms.ca,"beets, onions",,,"819 Canal Rd, Bradford, ON L3Z 2A6, Canada",819,Canal Road,Bradford West Gwillimbury,Simcoe County,Ontario,Canada,44.0439666,-79.6235662
Dyment's Farm,L9H 5E2,905-627-5477,"Open year round, 7 days a week, 10am to 7pm",http://www.dyments.com,"corn, pumpkins","corn, pumpkins",pumpkins,"416 Fallsview Rd E, Dundas, ON L9H 5E2, Canada",416,Fallsview Road East,Hamilton,Hamilton Division,Ontario,Canada,43.2793111,-79.9561382
Miller's Bay Farm,K0G 1L0,613-283-0205,Open Monday to Saturday from 9:00 am to dusk,http://www.millersbayfarm.com,"beans, beets, carrots, corn, onions, pumpkins, squash, strawberries, tomatoes","beans, beets, carrots, corn, onions, pumpkins, squash, strawberries, tomatoes",strawberries,"65 Rideau Ferry Rd, Lombardy, ON K0G 1L0, Canada",65,Rideau Ferry Road,Lombardy,Leeds and Grenville United Counties,Ontario,Canada,44.8381758,-76.1278859
Cristan Farms,L6J 7X2,905-844-6757,Open from July 6 to November 9; 10am to 5pm daily.,http://facebook.com/cristanfarms,"apples, cherries, currants, gooseberries, peaches, pears, peppers, plums, potatoes, pumpkins, raspberries, squash, tomatoes",,,"494 Winston Churchill Blvd, Oakville, ON L6J 7X2, Canada",494,Winston Churchill Boulevard,Oakville,Halton Regional Municipality,Ontario,Canada,43.4868616,-79.6328747
Earthly Delights,N0E 1K0,519-732-3477,,http://www.facebook.com/daniellesvegetables,flowers,flowers,,"35 Biggars Ln, Mount Pleasant, ON N0E 1K0, Canada",35,Biggars Lane,Brant,Brant County,Ontario,Canada,43.063968,-80.2912117
